name,address
Adams Elementary,"6110 28th Ave. NW
Seattle, WA 98107"
Alki Elementary,"5000 SW Spokane St
Seattle, WA 98116"
Arbor Heights Elementary,"3701 SW 104th St.
Seattle, WA 98146"
Bailey Gatzert Elementary,"1301 E Yesler Way
Seattle, WA 98122"
Beacon Hill International Elementary,"2025 14th Ave. S
Seattle, WA 98144"
Benjamin Franklin Day Elementary,"3921 Linden Ave. N
Seattle, WA 98103"
Broadview-Thomson K-8,"13052 Greenwood Ave. N
Seattle, WA 98133"
Bryant Elementary,"3311 NE 60th St.
Seattle, WA 98115"
Cascadia Elementary,"1700 N 90th St.
Seattle, WA 98103"
Catharine Blaine K-8,"2550 34th Ave. W
Seattle, WA 98199"
Cedar Park Elementary,"3737 NE 135th St.
Seattle, WA 98125"
Coe Elementary,"2424 7th Ave. W
Seattle, WA 98119"
Concord International Elementary,"723 S. Concord St.
Seattle, WA 98108"
Daniel Bagley Elementary,"7821 Stone Ave. N
Seattle, WA 98103"
Dearborn Park International Elementary,"2820 S Orcas St.
Seattle, WA 98108"
Decatur Elementary,"7711 43rd Ave. NE
Seattle, WA 98115"
Dunlap Elementary,"4525 S Cloverdale St.
Seattle, WA 98118"
Emerson Elementary,"9709 60th Ave. S
Seattle, WA 98118"
Fairmount Park Elementary,"3800 SW Findlay St.
Seattle, WA 98126"
Gatewood Elementary,"4320 SW Myrtle St.
Seattle, WA 98136"
Genesee Hill Elementary,"5013 SW Dakota St.
Seattle, WA 98116"
Graham Hill Elementary,"5149 S Graham St.
Seattle, WA 98118"
Green Lake Elementary,"2400 N 65th St.
Seattle, WA 98103"
Greenwood Elementary,"144 NW 80th St.
Seattle, WA 98117"
Hawthorne Elementary,"4100 39th Ave. S
Seattle, WA 98118"
Hazel Wolf K-8,"11530 12th Ave. NE
Seattle, WA 98125"
Highland Park Elementary,"1012 SW Trenton St.
Seattle, WA 98106"
James Baldwin Elementary,"11725 1st Ave. NE
Seattle, WA 98125"
John Hay Elementary,"201 Garfield St.
Seattle, WA 98109"
John Muir Elementary,"3301 S Horton St.
Seattle, WA 98144"
John Rogers Elementary,"520 NE Ravenna Blvd
Seattle, WA 98115"
John Stanford International Elementary,"4057 5th Ave. NE
Seattle, WA 98105"
Kimball Elementary,"3200 23rd Ave. S
Seattle, WA 98144"
Lafayette Elementary,"2645 California Ave. SW
Seattle, WA 98116"
Laurelhurst Elementary,"4530 46th Ave. NE
Seattle, WA 98105"
Lawton Elementary,"4000 27th Ave. W
Seattle, WA 98199"
Leschi Elementary,"135 32nd Ave.
Seattle, WA 98122"
Licton Springs K-8,"3015 NW 68th St.
Seattle, WA 98117"
Louisa Boren STEM K-8,"5950 Delridge Way SW
Seattle, WA 98106"
Lowell Elementary,"1058 E Mercer St.
Seattle, WA 98102"
Loyal Heights Elementary,"7735 25th Ave. NW
Seattle, WA 98117"
Madrona Elementary,"1121 33rd Ave.
Seattle, WA 98122"
Magnolia Elementary,"2418 28th Ave. W
Seattle, WA 98199"
Maple Elementary,"4925 Corson Ave. S
Seattle, WA 98108"
"Martin Luther King, Jr. Elementary","6725 45th Ave. S
Seattle, WA 98118"
McDonald International Elementary,"144 NE 54th St.
Seattle, WA 98105"
McGilvra Elementary,"1617 38th Ave. E
Seattle, WA 98112"
Montlake Elementary,"520 NE Ravenna Blvd
Seattle, WA 98115"
North Beach Elementary,"9018 24th Ave. NW
Seattle, WA 98117"
Olympic Hills Elementary,"13018 20th Ave. NE
Seattle, WA 98125"
Olympic View Elementary,"504 NE 95th St.
Seattle, WA 98115"
Orca K-8,"5215 46th Ave. S
Seattle, WA 98118"
Pathfinder K-8,"1901 SW Genesee St.
Seattle, WA 98106"
Queen Anne Elementary,"2100 4th Ave. N
Seattle, WA 98109"
Rainier View Elementary,"11650 Beacon Ave. S
Seattle, WA 98178"
Rising Star Elementary,"8311 Beacon Ave. S
Seattle, WA 98118"
Roxhill Elementary,"7740 34th Ave. SW
Seattle, WA 98126"
Sacajawea Elementary,"9501 20th Ave. NE
Seattle, WA 98115"
Salmon Bay K-8,"1810 NW 65th St.
Seattle, WA 98117"
Sand Point Elementary,"6208 60th Ave. NE
Seattle, WA 98115"
Sanislo Elementary,"1812 SW Myrtle St.
Seattle, WA 98106"
South Shore PK-8,"4800 S Henderson St.
Seattle, WA 98118"
Stevens Elementary,"1242 18th Ave. E
Seattle, WA 98112"
Thornton Creek Elementary,"7712 40th Ave. NE
Seattle, WA 98115"
Thurgood Marshall Elementary,"2401 S Irving St.
Seattle, WA 98144"
TOPS K-8,"2500 Franklin Ave. E
Seattle, WA 98102"
View Ridge Elementary,"7047 50th Ave. NE
Seattle, WA 98115"
Viewlands Elementary,"10525 3rd Ave NW
Seattle, WA 98177"
Wedgwood Elementary,"2720 NE 85th St.
Seattle, WA 98115"
West Seattle Elementary,"6760 34th Ave SW
Seattle, WA 98126"
West Woodland Elementary,"5601 4th Ave NW
Seattle, WA 98107"
Whittier Elementary,"1320 NW 75th St.
Seattle, WA 98117"
Wing Luke Elementary,"3701 S Kenyon St.
Seattle, WA 98118"
